,ISI_ULASAN,KLASIFIKASI_FITUR,SUB_KLASIFIKASI_FITUR,ISI_ULASAN_TOKEN,ISI_ULASAN_STEMMED
6847,mau masuk pakai nomor tlp tidak bisa tulis no response detected mau pakai email juga tidak bisa mau bikin akun baru tidak bisa juga,Registration,Sulit login/tidak bisa login,"['masuk', 'pakai', 'nomor', 'tlp', 'tulis', 'no', 'response', 'detected', 'pakai', 'email', 'akun']","['masuk', 'pakai', 'nomor', 'tlp', 'tulis', 'no', 'response', 'detected', 'pakai', 'email', 'akun']"
6848,mohon untuk verifikasi jngn pakai email lama bngt mending pakai sidik jari no hp atau kode biar gak lama terimakasih,Feature Design,Saran masukan user interface (UI),"['mohon', 'verifikasi', 'jngn', 'pakai', 'email', 'bngt', 'mending', 'pakai', 'sidik', 'jari', 'no', 'hp', 'kode', 'gak', 'terimakasih']","['mohon', 'verifikasi', 'jngn', 'pakai', 'email', 'bngt', 'mending', 'pakai', 'sidik', 'jari', 'no', 'hp', 'kode', 'gak', 'terimakasih']"
6849,bodoh sih opsi pakai flash gk ada betul kamera bawa hp malah ubah,Feature Design,Saran masukan User interface (UI),"['bodoh', 'opsi', 'pakai', 'flash', 'gk', 'kamera', 'bawa', 'hp', 'ubah']","['bodoh', 'opsi', 'pakai', 'flash', 'gk', 'kamera', 'bawa', 'hp', 'ubah']"
6850,ngga bisa masuk awal bagus sekarang ngga jelas uda coba pakai email pun tetap gagal,Registration,Sulit login/tidak bisa login,"['ngga', 'masuk', 'bagus', 'ngga', 'uda', 'coba', 'pakai', 'email', 'gagal']","['ngga', 'masuk', 'bagus', 'ngga', 'uda', 'coba', 'pakai', 'email', 'gagal']"
6851,gak bisa login dari versi apk belum sampai versi november ini,Registration,Sulit login/tidak bisa login,"['gak', 'login', 'versi', 'apk', 'versi', 'november']","['gak', 'login', 'versi', 'apk', 'versi', 'november']"
6852,buat regis atau login aja susah nya minta ampun gin kok bumn,Registration,Sulit login/tidak bisa login,"['regis', 'login', 'susah', 'nya', 'ampun', 'gin', 'bumn']","['regis', 'login', 'susah', 'nya', 'ampun', 'gin', 'bumn']"
6853,error terus,Feature Errors,Gangguan Server,['error'],['error']
6854,hari ini aplikasi error gagal kirim,Feature Errors,Gangguan Server,"['aplikasi', 'error', 'gagal', 'kirim']","['aplikasi', 'error', 'gagal', 'kirim']"
6855,daftar susah banget,Registration,Sulit mendaftar/tidak bisa mendaftar,"['daftar', 'susah', 'banget']","['daftar', 'susah', 'banget']"
6856,telah di update ada kotak kuning makin sulit baca dan sesuai angka padahal angka sudah sesuai,Feature Design,Saran masukan user interface (UI),"['update', 'kotak', 'kuning', 'sulit', 'baca', 'sesuai', 'angka', 'angka', 'sesuai']","['update', 'kotak', 'kuning', 'sulit', 'baca', 'sesuai', 'angka', 'angka', 'sesuai']"
6857,buruk masih banyak bug swacam catat meter error melulu,Feature Errors,Swacam tidak dapat digunakan,"['buruk', 'bug', 'swacam', 'catat', 'meter', 'error', 'melulu']","['buruk', 'bug', 'swacam', 'catat', 'meter', 'error', 'melulu']"
6858,knp gk bisa login,Registration,Sulit login/tidak bisa login,"['knp', 'gk', 'login']","['knp', 'gk', 'login']"
6859,error saat butuh catat meter sebal dan sedih,Feature Errors,Gangguan Server,"['error', 'butuh', 'catat', 'meter', 'sebal', 'sedih']","['error', 'butuh', 'catat', 'meter', 'sebal', 'sedih']"
6860,sekarang tidak bisa login tiap login guna nomor telepon pesan yang keluar selalu response not recorded minta password lalu email tidak pernah masuk,Registration,Sulit login/tidak bisa login,"['login', 'login', 'nomor', 'telepon', 'pesan', 'response', 'not', 'recorded', 'password', 'email', 'masuk']","['login', 'login', 'nomor', 'telepon', 'pesan', 'response', 'not', 'recorded', 'password', 'email', 'masuk']"
6861,not send verivication codes after install and fillin form pln branch not willing to repair power outage dark here not solution,Registration,Masalah verifikasi,"['not', 'send', 'verivication', 'codes', 'after', 'install', 'and', 'fillin', 'form', 'pln', 'branch', 'not', 'willing', 'to', 'repair', 'power', 'outage', 'dark', 'here', 'not', 'solution']","['not', 'send', 'verivication', 'codes', 'after', 'install', 'and', 'fillin', 'form', 'pln', 'branch', 'not', 'willing', 'to', 'repair', 'power', 'outage', 'dark', 'here', 'not', 'solution']"
6862,dadak error pa rah banget,Feature Errors,Gangguan Server,"['dadak', 'error', 'pa', 'rah', 'banget']","['dadak', 'error', 'pa', 'rah', 'banget']"
6863,aplikasi lelet sering jadi ganggu pada server,Feature Errors,Gangguan Server,"['aplikasi', 'lelet', 'ganggu', 'server']","['aplikasi', 'lelet', 'ganggu', 'server']"
6864,tidak bisa masuk iconet,ICONNET,Feature Error ICONNET,"['masuk', 'iconet']","['masuk', 'iconet']"
6865,apa ni aplikasi kata mudah layananlogin ke apk aja tidak bisa tolong di baik,Registration,Sulit login/tidak bisa login,"['ni', 'aplikasi', 'mudah', 'layananlogin', 'apk', 'tolong']","['ni', 'aplikasi', 'mudah', 'layananlogin', 'apk', 'tolong']"
6866,tidak bisa kirim fhoto swacam mandiri,Feature Errors,Swacam tidak dapat digunakan,"['kirim', 'fhoto', 'swacam', 'mandiri']","['kirim', 'fhoto', 'swacam', 'mandiri']"
6867,mau masuk akun tidak bisa terus,Registration,Sulit login/tidak bisa login,"['masuk', 'akun']","['masuk', 'akun']"
6868,kenapa pas masuk eror mulu gimna sih,Feature Errors,Gangguan Server,"['pas', 'masuk', 'eror', 'mulu', 'gimna']","['pas', 'masuk', 'eror', 'mulu', 'gimna']"
6869,eror terus mau catat meter,Feature Errors,Gangguan Server,"['eror', 'catat', 'meter']","['eror', 'catat', 'meter']"
6870,gak bisa daftar,Registration,Sulit mendaftar/tidak bisa mendaftar,"['gak', 'daftar']","['gak', 'daftar']"
6871,untuk pln ulp warujayeng nganjuk jawa timur tangan adu lama saya buat adu perihal lampu meter listrik yg nyala warna kuning di aplikasi tera maksimal jam tapi adu saya selesai kurang dari jam namun tidak ada tugas yg datang maupun solusi dari tugas jadi listrik rumah saya padam lumayan lama kyk percuma adu lewat aplikasi tolong baik lagi dalam tangan adu langgan,Service O2O,Respon lambat terhadap keluhan pemadaman,"['pln', 'ulp', 'warujayeng', 'nganjuk', 'jawa', 'timur', 'tangan', 'adu', 'adu', 'perihal', 'lampu', 'meter', 'listrik', 'nyala', 'warna', 'kuning', 'aplikasi', 'tera', 'maksimal', 'jam', 'adu', 'selesai', 'jam', 'tugas', 'solusi', 'tugas', 'listrik', 'rumah', 'padam', 'lumayan', 'kyk', 'adu', 'aplikasi', 'tolong', 'tangan', 'adu', 'langgan']","['pln', 'ulp', 'warujayeng', 'nganjuk', 'jawa', 'timur', 'tangan', 'adu', 'adu', 'perihal', 'lampu', 'meter', 'listrik', 'nyala', 'warna', 'kuning', 'aplikasi', 'tera', 'maksimal', 'jam', 'adu', 'selesai', 'jam', 'tugas', 'solusi', 'tugas', 'listrik', 'rumah', 'padam', 'lumayan', 'kyk', 'adu', 'aplikasi', 'tolong', 'tangan', 'adu', 'langgan']"
6872,awal bisa di guna tapi sekarang eror terus,Feature Errors,Gangguan Server,['eror'],['eror']
6873,adu batas jam operasional aplikasi apa keburu listrik padam harus kalau memang pake aplikasi tidak batas jam operasional hadehhh,Feature Design,Fitur Pengaduan,"['adu', 'batas', 'jam', 'operasional', 'aplikasi', 'keburu', 'listrik', 'padam', 'pake', 'aplikasi', 'batas', 'jam', 'operasional', 'hadehhh']","['adu', 'batas', 'jam', 'operasional', 'aplikasi', 'keburu', 'listrik', 'padam', 'pake', 'aplikasi', 'batas', 'jam', 'operasional', 'hadehhh']"
6874,sekarang pk lapor dr aplikasitp aplikasi ga gunaud lapor pakai hp kamera terang signal bagus aplikasi ud diupdateerorr terus,Feature Errors,Gangguan Server,"['pk', 'lapor', 'dr', 'aplikasitp', 'aplikasi', 'ga', 'gunaud', 'lapor', 'pakai', 'hp', 'kamera', 'terang', 'signal', 'bagus', 'aplikasi', 'ud', 'diupdateerorr']","['pk', 'lapor', 'dr', 'aplikasitp', 'aplikasi', 'ga', 'gunaud', 'lapor', 'pakai', 'hp', 'kamera', 'terang', 'signal', 'bagus', 'aplikasi', 'ud', 'diupdateerorr']"
6875,aplikasi taik mau daftar login gk bisa,Registration,Sulit login/tidak bisa login,"['aplikasi', 'taik', 'daftar', 'login', 'gk']","['aplikasi', 'taik', 'daftar', 'login', 'gk']"
6876,applikasi sampah catat meter kaga bs eror udah update ttp kaga bs login kaga bs,Feature Errors,Gangguan Server,"['applikasi', 'sampah', 'catat', 'meter', 'kaga', 'bs', 'eror', 'udah', 'update', 'ttp', 'kaga', 'bs', 'login', 'kaga', 'bs']","['applikasi', 'sampah', 'catat', 'meter', 'kaga', 'bs', 'eror', 'udah', 'update', 'ttp', 'kaga', 'bs', 'login', 'kaga', 'bs']"
6877,kenapa aplikasi nya tidak mau buka sudah cob kali kali login masih tidak bisa juga mohon bantu salah mana untuk internet saya bagus,Registration,Sulit login/tidak bisa login,"['aplikasi', 'nya', 'buka', 'cob', 'kali', 'kali', 'login', 'mohon', 'bantu', 'salah', 'internet', 'bagus']","['aplikasi', 'nya', 'buka', 'cob', 'kali', 'kali', 'login', 'mohon', 'bantu', 'salah', 'internet', 'bagus']"
6878,tidak bisa kirim gambar telah update version program error mohon baik,Feature Errors,Gangguan Server,"['kirim', 'gambar', 'update', 'version', 'program', 'error', 'mohon']","['kirim', 'gambar', 'update', 'version', 'program', 'error', 'mohon']"
6879,sorry ya ratingnya aku turunin jd karna pada tanggal januari saya beli token untuk meter sdh tranfer dan kirim bgtu buka aplikasi error sampai detik ini masih error dan nasib beli token saya ndak tau mana sdh hubung by email respon lambat kata mau di refund dan sampai detik ini jga blm tau kejelasannyapadahal sejak thn saya sdh pakai aplikasi ini sampai skrng baru ada kendala di awal thn inipayahhh nih aplikasihati ya man teman klo bli token,Feature Errors,Status payment gagal tapi saldo sudah terpotong,"['sorry', 'ya', 'ratingnya', 'turunin', 'jd', 'karna', 'tanggal', 'januari', 'beli', 'token', 'meter', 'tranfer', 'kirim', 'bgtu', 'buka', 'aplikasi', 'error', 'detik', 'error', 'nasib', 'beli', 'token', 'ndak', 'hubung', 'by', 'email', 'respon', 'lambat', 'refund', 'detik', 'jga', 'blm', 'kejelasannyapadahal', 'thn', 'pakai', 'aplikasi', 'skrng', 'kendala', 'thn', 'inipayahhh', 'nih', 'aplikasihati', 'ya', 'man', 'teman', 'bli', 'token']","['sorry', 'ya', 'ratingnya', 'turunin', 'jd', 'karna', 'tanggal', 'januari', 'beli', 'token', 'meter', 'tranfer', 'kirim', 'bgtu', 'buka', 'aplikasi', 'error', 'detik', 'error', 'nasib', 'beli', 'token', 'ndak', 'hubung', 'by', 'email', 'respon', 'lambat', 'refund', 'detik', 'jga', 'blm', 'kejelasannyapadahal', 'thn', 'pakai', 'aplikasi', 'skrng', 'kendala', 'thn', 'inipayahhh', 'nih', 'aplikasihati', 'ya', 'man', 'teman', 'bli', 'token']"
6880,kenapa tidak bisa catat meter dan login,Feature Errors,Swacam tidak dapat digunakan,"['catat', 'meter', 'login']","['catat', 'meter', 'login']"
6881,error bgt iconet dalam bulan cuma minggu aja pake layan nya lebih nya lampu loss merah tidak ada internet bayar mah full layan gk dapat usaha bumn buruk,ICONNET,Feature Error ICONNET,"['error', 'bgt', 'iconet', 'minggu', 'pake', 'layan', 'nya', 'nya', 'lampu', 'loss', 'merah', 'internet', 'bayar', 'mah', 'full', 'layan', 'gk', 'usaha', 'bumn', 'buruk']","['error', 'bgt', 'iconet', 'minggu', 'pake', 'layan', 'nya', 'nya', 'lampu', 'loss', 'merah', 'internet', 'bayar', 'mah', 'full', 'layan', 'gk', 'usaha', 'bumn', 'buruk']"
6882,tidk bisa login pakai no hp no respon bagaimana mau catat meter mandiri,Registration,Sulit login/tidak bisa login,"['tidk', 'login', 'pakai', 'no', 'hp', 'no', 'respon', 'catat', 'meter', 'mandiri']","['tidk', 'login', 'pakai', 'no', 'hp', 'no', 'respon', 'catat', 'meter', 'mandiri']"
6883,saya udah bayar tagih non taglis saya tapi gamasuk sedang saya udah kasih unjuk bukti transfer tpi dari tanggal januari sampai hari ini tidak ada tulis lunas malah tulis transaksi kadaluwarsa,Feature Errors,Status payment gagal tapi saldo sudah terpotong,"['udah', 'bayar', 'tagih', 'non', 'taglis', 'gamasuk', 'udah', 'kasih', 'unjuk', 'bukti', 'transfer', 'tpi', 'tanggal', 'januari', 'tulis', 'lunas', 'tulis', 'transaksi', 'kadaluwarsa']","['udah', 'bayar', 'tagih', 'non', 'taglis', 'gamasuk', 'udah', 'kasih', 'unjuk', 'bukti', 'transfer', 'tpi', 'tanggal', 'januari', 'tulis', 'lunas', 'tulis', 'transaksi', 'kadaluwarsa']"
6884,abis update malah makin ggoblox susah moto nttttooool,Feature Errors,Gangguan Server,"['abis', 'update', 'ggoblox', 'susah', 'moto', 'nttttooool']","['abis', 'update', 'ggoblox', 'susah', 'moto', 'nttttooool']"
6885,ga bisa login dari nomer hp dan google lama masa catat meter banyakin buzzer aja biar rating stabil ya,Registration,Sulit login/tidak bisa login,"['ga', 'login', 'nomer', 'hp', 'google', 'catat', 'meter', 'banyakin', 'buzzer', 'rating', 'stabil', 'ya']","['ga', 'login', 'nomer', 'hp', 'google', 'catat', 'meter', 'banyakin', 'buzzer', 'rating', 'stabil', 'ya']"
6886,daftar kali link verifikasi email ga masuk,Registration,Masalah verifikasi,"['daftar', 'kali', 'link', 'verifikasi', 'email', 'ga', 'masuk']","['daftar', 'kali', 'link', 'verifikasi', 'email', 'ga', 'masuk']"
6887,aplikasi ini sering eror atau di eror kan tadi sore sampai lebih dari kali kirim jumlah meter aja nggak bisa bisa,Feature Errors,Gangguan Server,"['aplikasi', 'eror', 'eror', 'sore', 'kali', 'kirim', 'meter', 'nggak']","['aplikasi', 'eror', 'eror', 'sore', 'kali', 'kirim', 'meter', 'nggak']"
6888,verifikasi email tidak ada jadi daftar beberapa kali masih tidak bisa,Registration,Sulit mendaftar/tidak bisa mendaftar,"['verifikasi', 'email', 'daftar', 'kali']","['verifikasi', 'email', 'daftar', 'kali']"
6889,aplikasi lot erorr terus,Feature Errors,Gangguan Server,"['aplikasi', 'lot', 'erorr']","['aplikasi', 'lot', 'erorr']"
6890,disuru relogin malah jadi error ga bisa login,Feature Errors,Gangguan Server,"['disuru', 'relogin', 'error', 'ga', 'login']","['disuru', 'relogin', 'error', 'ga', 'login']"
6891,payah selalu gagal login mau lapor meter mandiri aja susah wa ke ga bisa aplikasi ga bisa gilir komplain gapernah pihak konsumen,Registration,Sulit login/tidak bisa login,"['payah', 'gagal', 'login', 'lapor', 'meter', 'mandiri', 'susah', 'wa', 'ga', 'aplikasi', 'ga', 'gilir', 'komplain', 'gapernah', 'konsumen']","['payah', 'gagal', 'login', 'lapor', 'meter', 'mandiri', 'susah', 'wa', 'ga', 'aplikasi', 'ga', 'gilir', 'komplain', 'gapernah', 'konsumen']"
6892,often no response and even you have already reinstall,Feature Errors,Gangguan Server,"['often', 'no', 'response', 'and', 'even', 'you', 'have', 'already', 'reinstall']","['often', 'no', 'response', 'and', 'even', 'you', 'have', 'already', 'reinstall']"
6893,curl error maksud apa ini jadi tidak bisa lapor catat meter bulan,Feature Errors,Gangguan Server,"['curl', 'error', 'maksud', 'lapor', 'catat', 'meter']","['curl', 'error', 'maksud', 'lapor', 'catat', 'meter']"
6894,kayak mana ini aplikasi pln mobile ini selalu error mana ini ahli it nya kalau ga bisa atas resign aja masih banyak ahli it yang mau kerja,Feature Errors,Gangguan Server,"['kayak', 'aplikasi', 'pln', 'mobile', 'error', 'ahli', 'it', 'nya', 'ga', 'resign', 'ahli', 'it', 'kerja']","['kayak', 'aplikasi', 'pln', 'mobile', 'error', 'ahli', 'it', 'nya', 'ga', 'resign', 'ahli', 'it', 'kerja']"
6895,abs update  bs masuk gmna dah,Registration,Sulit login/tidak bisa login,"['abs', 'update', 'bs', 'masuk', 'gmna', 'dah']","['abs', 'update', 'bs', 'masuk', 'gmna', 'dah']"
6896,cannot scan for spklu for charging electric vehicle please solve this problem,Feature Errors,Fitur SPKLU,"['can', 'not', 'scan', 'for', 'spklu', 'for', 'charging', 'electric', 'vehicle', 'please', 'solve', 'this', 'problem']","['can', 'not', 'scan', 'for', 'spklu', 'for', 'charging', 'electric', 'vehicle', 'please', 'solve', 'this', 'problem']"
6897,saya daftar harus verivikasi email tapi saya tunggu hari gk masuk susah amat cuk,Registration,Masalah verifikasi,"['daftar', 'verivikasi', 'email', 'tunggu', 'gk', 'masuk', 'susah', 'cuk']","['daftar', 'verivikasi', 'email', 'tunggu', 'gk', 'masuk', 'susah', 'cuk']"
6898,aplikasi sampah login dari email kata nomor sudah di kirim tapi nyata gak ada pesan apa dari email,Registration,Masalah verifikasi,"['aplikasi', 'sampah', 'login', 'email', 'nomor', 'kirim', 'nyata', 'gak', 'pesan', 'email']","['aplikasi', 'sampah', 'login', 'email', 'nomor', 'kirim', 'nyata', 'gak', 'pesan', 'email']"
6899,kaga danta bat pleer,Umum,Lain-lain,"['kaga', 'danta', 'bat', 'pleer']","['kaga', 'danta', 'bat', 'pleer']"
6900,belum fungsi tidak ada masalah tp telah saya upgrade akun pake ktp dan selfie tiba aplikasi gk bisa buka force logout mau login lg pake no hp gk bs kata response not detected kirain akhir ada aplikasi bumn yg kerja dengan baik teranyata sama aja aplikasi cuma sarana baru buat korupsi di bumn seperti biasa,Feature Errors,Gangguan Server,"['fungsi', 'tp', 'upgrade', 'akun', 'pake', 'ktp', 'selfie', 'aplikasi', 'gk', 'buka', 'force', 'logout', 'login', 'lg', 'pake', 'no', 'hp', 'gk', 'bs', 'response', 'not', 'detected', 'kirain', 'aplikasi', 'bumn', 'kerja', 'teranyata', 'aplikasi', 'sarana', 'korupsi', 'bumn']","['fungsi', 'tp', 'upgrade', 'akun', 'pake', 'ktp', 'selfie', 'aplikasi', 'gk', 'buka', 'force', 'logout', 'login', 'lg', 'pake', 'no', 'hp', 'gk', 'bs', 'response', 'not', 'detected', 'kirain', 'aplikasi', 'bumn', 'kerja', 'teranyata', 'aplikasi', 'sarana', 'korupsi', 'bumn']"
6901,tutor daftar nya dong kak rdok ruwett,Feature Design,Saran fitur baru,"['tutor', 'daftar', 'nya', 'kak', 'rdok', 'ruwett']","['tutor', 'daftar', 'nya', 'kak', 'rdok', 'ruwett']"
6902,gak bisa login reset password juga gak ada respon,Registration,Sulit login/tidak bisa login,"['gak', 'login', 'reset', 'password', 'gak', 'respon']","['gak', 'login', 'reset', 'password', 'gak', 'respon']"
6903,hari akhir untuk catat meter url error tidak bisa upload foto kirim catat meter nya,Feature Errors,Gangguan Server,"['catat', 'meter', 'url', 'error', 'upload', 'foto', 'kirim', 'catat', 'meter', 'nya']","['catat', 'meter', 'url', 'error', 'upload', 'foto', 'kirim', 'catat', 'meter', 'nya']"
6904,suruh catat meter sendiri tapi aplikasi errorparah,Feature Errors,Gangguan Server,"['suruh', 'catat', 'meter', 'aplikasi', 'errorparah']","['suruh', 'catat', 'meter', 'aplikasi', 'errorparah']"
6905,kok hr ini gk bs login pke akun google sy dulu daftar pke akun googlejd gk bisa kirim foto meter jumlah pakai listrik bulan januari server lagi down apa gmn min,Registration,Sulit login/tidak bisa login,"['hr', 'gk', 'bs', 'login', 'pke', 'akun', 'google', 'sy', 'daftar', 'pke', 'akun', 'googlejd', 'gk', 'kirim', 'foto', 'meter', 'pakai', 'listrik', 'januari', 'server', 'down', 'gmn', 'min']","['hr', 'gk', 'bs', 'login', 'pke', 'akun', 'google', 'sy', 'daftar', 'pke', 'akun', 'googlejd', 'gk', 'kirim', 'foto', 'meter', 'pakai', 'listrik', 'januari', 'server', 'down', 'gmn', 'min']"
6906,update baru fitur ocr di swa cam kacau dia baca angka akhir sehingga angka meter yg catat lebih digit hitung tagih langsung ratus juta,Feature Errors,Fungsi fitur gagal,"['update', 'fitur', 'ocr', 'swa', 'cam', 'kacau', 'baca', 'angka', 'angka', 'meter', 'catat', 'digit', 'hitung', 'tagih', 'langsung', 'ratus', 'juta']","['update', 'fitur', 'ocr', 'swa', 'cam', 'kacau', 'baca', 'angka', 'angka', 'meter', 'catat', 'digit', 'hitung', 'tagih', 'langsung', 'ratus', 'juta']"
6907,aplikasi ko ganggu terus mau lapor aj gkbsa tuk apa buat kalo ganggu terus nunggu rumah gelap dulu msak,Feature Errors,Gangguan Server,"['aplikasi', 'ko', 'ganggu', 'lapor', 'aj', 'gkbsa', 'tuk', 'ganggu', 'nunggu', 'rumah', 'gelap', 'msak']","['aplikasi', 'ko', 'ganggu', 'lapor', 'aj', 'gkbsa', 'tuk', 'ganggu', 'nunggu', 'rumah', 'gelap', 'msak']"
6908,min aplikasi error bulan ini saya tidak bisa laku catat meter mandiri mohon untuk baik,Feature Errors,Gangguan Server,"['min', 'aplikasi', 'error', 'laku', 'catat', 'meter', 'mandiri', 'mohon']","['min', 'aplikasi', 'error', 'laku', 'catat', 'meter', 'mandiri', 'mohon']"
